MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
	NP_570508-late-transcription-factor-VLTF-3-[Camelpox-virus]	98.66(%id)	100.0(%cover)
	NP_671622-late-transcription-factor-VLTF-3-[Ectromelia-virus]	98.21(%id)	100.0(%cover)
	YP_009282813-vltf-3-[Skunkpox-virus]	97.77(%id)	100.0(%cover)
	YP_009143428-VLTF-3-[Raccoonpox-virus]	97.32(%id)	100.0(%cover)
MPXV-UK_P2-111	A3L	111-A3L	S-S bond formation pathway protein (Cop-A2.5L); A3L 
	NP_536540-A3L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_233003-S-S-bond-formation-pathway-[Vaccinia-virus]	90.91(%id)	100.0(%cover)
MPXV-UK_P2-112	A4L	112-P4b-precursor	P4b precursor (Cop-A3L); A4L; similar to Vaccinia virus strain Copenhagen A3L; major virion core protein p4b 
	NP_536541-A4L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_233004-p4b-precursor-of-core-protein-4b-[Vaccinia-virus]	99.07(%id)	100.0(%cover)
	NP_619918-CPXV135-protein-[Cowpox-virus]	98.91(%id)	100.0(%cover)
	NP_570510-CMLV120-[Camelpox-virus]	98.76(%id)	100.0(%cover)
	NP_671624-EVM106-[Ectromelia-virus]	98.91(%id)	100.0(%cover)
	NP_042151-hypothetical-protein-VARVgp107-[Variola-virus]	98.60(%id)	100.0(%cover)
	YP_717431-p4b-precursor-of-core-protein-4b-[Taterapox-virus]	98.45(%id)	100.0(%cover)
	YP_010085580-P4b-precursor-[Akhmeta-virus]	97.83(%id)	100.0(%cover)
	YP_010085790-putative-A3L-protein-[Orthopoxvirus-Abatino]	98.30(%id)	100.0(%cover)
	YP_009281869-p4b-precursor-[Volepox-virus]	94.73(%id)	100.0(%cover)
	YP_009282815-p4b-precursor-[Skunkpox-virus]	93.64(%id)	100.0(%cover)
	YP_009143430-P4b-precursor-[Raccoonpox-virus]	93.95(%id)	100.0(%cover)
MPXV-UK_P2-113	A5L	113-39kDa-core-protein	39kDa virion core protein (Cop-A4L); A5L; similar to Vaccinia virus strain Copenhagen A4L; 39 kDa immunodominant virion core protein needed for the progression of IV to infectious IMV 
	NP_536542-A5L-[Monkeypox-virus-Zaire-96-I-16]	98.93(%id)	100.0(%cover)
	YP_233005-39kDa-core-protein-[Vaccinia-virus]	93.95(%id)	100.0(%cover)
	NP_671625-EVM107-[Ectromelia-virus]	91.46(%id)	100.0(%cover)
	YP_717432-39kDa-core-protein-[Taterapox-virus]	93.97(%id)	100.0(%cover)
	NP_570511-CMLV121-[Camelpox-virus]	90.07(%id)	100.0(%cover)
MPXV-UK_P2-114	A6R	114-DNA-dependent-RNA-polymerase-subunit-rpo19	RNA polymerase subunit (RPO19) (Cop-A5R); A6R; similar to Vaccinia virus strain Copenhagen A5R; precursor of RNA polymerase 22 kDa and 21 kDa 
	NP_536543-A6R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_233006-DNA-dependent-RNA-polymerase-subunit-rpo19-[Vaccinia-virus]	97.56(%id)	100.0(%cover)
	NP_619920-CPXV137-protein-[Cowpox-virus]	97.56(%id)	100.0(%cover)
	YP_717433-DNA-dependent-RNA-polymerase-subunit-rpo19-[Taterapox-virus]	97.56(%id)	100.0(%cover)
	YP_010085792-putative-A5R-protein-[Orthopoxvirus-Abatino]	97.56(%id)	100.0(%cover)
	YP_010085582-RNA-polymerase-subunit-[Akhmeta-virus]	97.56(%id)	100.0(%cover)
	NP_671626-EVM108-[Ectromelia-virus]	96.95(%id)	100.0(%cover)
	NP_042153-hypothetical-protein-VARVgp109-[Variola-virus]	96.95(%id)	100.0(%cover)
	NP_570512-CMLV122-[Camelpox-virus]	96.95(%id)	100.0(%cover)
	YP_009281871-RNA-polymerase-[Volepox-virus]	90.68(%id)	100.0(%cover)
MPXV-UK_P2-115	A7L	115-virion-morphogenesis-protein	Viral membrane assembly proteins (VMAP), core protein (Cop-A6L); A7L; similar to Vaccinia virus strain Copenhagen A6L 
	NP_536544-A7L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619921-CPXV138-protein-[Cowpox-virus]	98.39(%id)	100.0(%cover)
	NP_042154-hypothetical-protein-VARVgp110-[Variola-virus]	98.39(%id)	100.0(%cover)
	YP_010085793-putative-A6L-protein-[Orthopoxvirus-Abatino]	98.12(%id)	100.0(%cover)
	NP_671627-EVM109-[Ectromelia-virus]	98.12(%id)	100.0(%cover)
	YP_717434-hypothetical-protein-TATV_DAH68_127-[Taterapox-virus]	97.85(%id)	100.0(%cover)
	YP_233007-hypothetical-protein-VACWR125-[Vaccinia-virus]	97.85(%id)	100.0(%cover)
	NP_570513-CMLV123-[Camelpox-virus]	97.31(%id)	100.0(%cover)
	YP_010085583-virion-core-and-cleavage-processing-protein-[Akhmeta-virus]	95.70(%id)	100.0(%cover)
	YP_009143433-Virion-morphogenesis,-core-protein-[Raccoonpox-virus]	93.01(%id)	100.0(%cover)
	YP_009282818-virion-morphogenesis-protein-[Skunkpox-virus]	93.01(%id)	100.0(%cover)
	YP_009281872-virion-morphogenesis-protein-[Volepox-virus]	91.94(%id)	100.0(%cover)
MPXV-UK_P2-116	A8L	116-vetf-l	VETF-L (early transcription factor large) (Cop- A7L); A8L; similar to Vaccinia virus strain Copenhagen A7L; early transcription factor, VETF, large subunit; needed for morphogenesis of the virion core 
	NP_536545-A8L-[Monkeypox-virus-Zaire-96-I-16]	99.86(%id)	100.0(%cover)
	YP_233008-82kDa-large-subunit-of-early-gene-transcription-factor-VETF-[Vaccinia-virus]	98.45(%id)	100.0(%cover)
	YP_717435-82kDa-large-subunit-of-early-gene-transcription-factor-VETF-[Taterapox-virus]	98.45(%id)	100.0(%cover)
	NP_671628-EVM110-[Ectromelia-virus]	97.89(%id)	100.0(%cover)
	YP_010085794-putative-A7L-protein-[Orthopoxvirus-Abatino]	97.89(%id)	100.0(%cover)
	NP_570514-CMLV124-[Camelpox-virus]	97.75(%id)	100.0(%cover)
	YP_010085584-early-gene-transcription-factor-[Akhmeta-virus]	97.61(%id)	100.0(%cover)
	NP_619922-CPXV139-protein-[Cowpox-virus]	97.32(%id)	100.0(%cover)
	NP_042155-hypothetical-protein-VARVgp111-[Variola-virus]	97.32(%id)	100.0(%cover)
	YP_009282819-vetf-l-[Skunkpox-virus]	95.07(%id)	100.0(%cover)
	YP_009143434-VETF-L-[Raccoonpox-virus]	94.93(%id)	100.0(%cover)
	YP_009281873-vetf-l-[Volepox-virus]	95.33(%id)	99.6(%cover)
MPXV-UK_P2-117	A9R	117-32kDa-small-subunit-of-transcription-factor-VITF-3	VITF-3 34kda subunit (Cop-A8R); A9R; similar to Vaccinia virus strain Copenhagen A8R; intermediate transcription factor, VITF-3, 34 kDa 
	NP_536546-A9R-[Monkeypox-virus-Zaire-96-I-16]	99.66(%id)	100.0(%cover)
	NP_619923-CPXV140-protein-[Cowpox-virus]	99.31(%id)	98.6(%cover)
	YP_010085585-VITF-3-small-subunit-[Akhmeta-virus]	99.31(%id)	98.6(%cover)
	YP_717436-32kDa-small-subunit-of-transcription-factor-VITF-3-[Taterapox-virus]	98.96(%id)	98.6(%cover)
	NP_671629-EVM111-[Ectromelia-virus]	98.61(%id)	98.6(%cover)
	YP_010085795-putative-A8R-protein-[Orthopoxvirus-Abatino]	98.61(%id)	98.6(%cover)
	YP_233009-32kDa-small-subunit-of-transcription-factor-VITF-3-[Vaccinia-virus]	98.61(%id)	98.6(%cover)
	NP_042156-hypothetical-protein-VARVgp112-[Variola-virus]	98.61(%id)	98.6(%cover)
	NP_570515-CMLV125-[Camelpox-virus]	98.61(%id)	98.6(%cover)
	YP_009282820-vitf-3-34kDa-subunit-[Skunkpox-virus]	94.43(%id)	98.3(%cover)
	YP_009143435-VITF-3-32-kDa-small-subunit-[Raccoonpox-virus]	95.12(%id)	98.3(%cover)
	YP_009281874-vitf-3-34kDa-subunit-[Volepox-virus]	93.73(%id)	98.3(%cover)
MPXV-UK_P2-118	A10L	118-A10L	Viral membrane associated, early morphogenesis protein (Cop-A9L); A10L; similar to Vaccinia virus strain Copenhagen A9L 
	NP_536547-A10L-[Monkeypox-virus-Zaire-96-I-16]	99.00(%id)	100.0(%cover)
	NP_042157-hypothetical-protein-VARVgp113-[Variola-virus]	93.81(%id)	97.0(%cover)
MPXV-UK_P2-119	A11L	119-A11L	P4a precursor (Cop-A10L); A11L; similar to Vaccinia virus strain Copenhagen A10L; major virion core protein p4a 
	NP_536548-A11L-[Monkeypox-virus-Zaire-96-I-16]	99.55(%id)	100.0(%cover)
	NP_671631-EVM113-[Ectromelia-virus]	97.31(%id)	100.0(%cover)
	NP_042158-hypothetical-protein-VARVgp114-[Variola-virus]	97.76(%id)	100.0(%cover)
	NP_570517-CMLV127-[Camelpox-virus]	97.65(%id)	100.0(%cover)
	YP_717438-p4a-precursor-of-IMV-core-protein-4a-[Taterapox-virus]	97.65(%id)	100.0(%cover)
	YP_233011-precursor-p4a-of-core-protein-4a-[Vaccinia-virus]	97.08(%id)	100.0(%cover)
	YP_010085797-putative-A10L-protein-[Orthopoxvirus-Abatino]	96.75(%id)	100.0(%cover)
	YP_010085587-P4a-precursor-[Akhmeta-virus]	96.64(%id)	100.0(%cover)
	NP_619925-CPXV142-protein-[Cowpox-virus]	95.53(%id)	100.0(%cover)
MPXV-UK_P2-120	A12R	120-viral-membrane-formation-protein	Viral membrane assembly proteins (VMAP) (Cop-A1 1R); A12R; similar to Vaccinia virus strain Copenhagen A11R 
	NP_536549-A12R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619926-CPXV143-protein-[Cowpox-virus]	99.69(%id)	100.0(%cover)
	YP_010085798-putative-A11R-protein-[Orthopoxvirus-Abatino]	99.37(%id)	100.0(%cover)
	YP_010085588-virial-membrane-formation-protein-[Akhmeta-virus]	99.37(%id)	100.0(%cover)
	YP_233012-hypothetical-protein-VACWR130-[Vaccinia-virus]	99.06(%id)	100.0(%cover)
	NP_671632-EVM114-[Ectromelia-virus]	99.06(%id)	100.0(%cover)
	YP_717439-hypothetical-protein-TATV_DAH68_132-[Taterapox-virus]	99.06(%id)	100.0(%cover)
	NP_042159-hypothetical-protein-VARVgp115-[Variola-virus]	98.43(%id)	100.0(%cover)
	NP_570518-CMLV128-[Camelpox-virus]	98.43(%id)	100.0(%cover)
	YP_009282823-viral-membrane-formation-protein-[Skunkpox-virus]	95.61(%id)	100.0(%cover)
	YP_009281877-viral-membrane-formation-protein-[Volepox-virus]	95.30(%id)	100.0(%cover)
	YP_009143438-Viral-membrane-formation-[Raccoonpox-virus]	95.31(%id)	100.0(%cover)
MPXV-UK_P2-121	A13L	121-core-protein	Virion core and cleavage processing protein (Cop-A12L); A13L; similar to Vaccinia virus strain Copenhagen A12L; virion core protein 
	NP_536550-A13L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085589-virion-core-and-cleavage-processing-protein-[Akhmeta-virus]	99.47(%id)	100.0(%cover)
	YP_717440-core-protein-[Taterapox-virus]	99.48(%id)	100.0(%cover)
	NP_570519-CMLV129-[Camelpox-virus]	98.95(%id)	100.0(%cover)
	NP_619927-CPXV144-protein-[Cowpox-virus]	97.89(%id)	100.0(%cover)
	NP_042160-hypothetical-protein-VARVgp116-[Variola-virus]	98.42(%id)	100.0(%cover)
	YP_010085799-putative-A12L-protein-[Orthopoxvirus-Abatino]	95.83(%id)	100.0(%cover)
	NP_671633-EVM115-[Ectromelia-virus]	93.19(%id)	100.0(%cover)
	YP_233013-core-protein-[Vaccinia-virus]	93.23(%id)	100.0(%cover)
MPXV-UK_P2-122	A14L	122-A14L	IMV membrane protein, virion maturation (Cop-A1 3L); A14L; similar to Vaccinia virus strain Copenhagen A13L; IMV inner and outer membrane protein 
	NP_536551-A14L-[Monkeypox-virus-Zaire-96-I-16]	98.57(%id)	100.0(%cover)
	NP_570520-CMLV130-[Camelpox-virus]	91.43(%id)	100.0(%cover)
MPXV-UK_P2-123	A15L	123-phosphorylated-IMV-membrane-protein	Essential IMV membrane protein (Cop-A14L); A15L; similar to Vaccinia virus strain Copenhagen A14L; IMV inner membrane protein 
	YP_233015-phosphorylated-IMV-membrane-protein-[Vaccinia-virus]	100.00(%id)	100.0(%cover)
	NP_619929-CPXV146-protein-[Cowpox-virus]	100.00(%id)	100.0(%cover)
	NP_536552-A15L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_570521-CMLV131-[Camelpox-virus]	98.89(%id)	100.0(%cover)
	YP_717442-phosphorylated-IMV-membrane-protein-[Taterapox-virus]	98.89(%id)	100.0(%cover)
	YP_010085591-phosphorylated-IMV-membrane-protein-[Akhmeta-virus]	98.89(%id)	100.0(%cover)
	YP_010085801-putative-A14L-protein-[Orthopoxvirus-Abatino]	98.89(%id)	100.0(%cover)
	NP_671635-EVM117-[Ectromelia-virus]	98.89(%id)	100.0(%cover)
	NP_042162-hypothetical-protein-VARVgp118-[Variola-virus]	97.78(%id)	100.0(%cover)
	YP_009282826-essential-imv-membrane-protein-[Skunkpox-virus]	94.44(%id)	100.0(%cover)
	YP_009281880-essential-imv-membrane-protein-[Volepox-virus]	93.33(%id)	100.0(%cover)
	YP_009143441-Phosphorylated-IMV-membrane-protein-[Raccoonpox-virus]	94.44(%id)	100.0(%cover)
MPXV-UK_P2-124	A15.5L	124	Non-essential IMV membrane protein (Cop-A14.5L);A15.5L 
MPXV-UK_P2-125	A16L	125-core-protein	Core protein (Cop-A15L); A16L; similar to Vaccinia virus strain Copenhagen A15L 
	NP_536553-A16L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_233017-hypothetical-protein-VACWR135-[Vaccinia-virus]	98.94(%id)	100.0(%cover)
	NP_619931-CPXV148-protein-[Cowpox-virus]	98.94(%id)	100.0(%cover)
	YP_010085802-putative-A15L-protein-[Orthopoxvirus-Abatino]	98.94(%id)	100.0(%cover)
	YP_717444-virion-core-associated-protein-[Taterapox-virus]	97.87(%id)	100.0(%cover)
	YP_010085593-core-protein-[Akhmeta-virus]	96.81(%id)	100.0(%cover)
	NP_671637-EVM118-[Ectromelia-virus]	96.81(%id)	100.0(%cover)
	NP_042163-hypothetical-protein-VARVgp119-[Variola-virus]	96.81(%id)	100.0(%cover)
	NP_570523-CMLV133-[Camelpox-virus]	95.74(%id)	100.0(%cover)
	YP_009281882-core-protein-[Volepox-virus]	92.55(%id)	100.0(%cover)
MPXV-UK_P2-126	A17L	126-A17L	Myristylated protein, essential for entry/fusion (Cop-A16L); A17L; similar to Vaccinia virus strain Copenhagen A16L; soluble myristylated protein 
	NP_536554-A17L-[Monkeypox-virus-Zaire-96-I-16]	99.20(%id)	100.0(%cover)
	YP_010085803-putative-A16L-protein-[Orthopoxvirus-Abatino]	97.88(%id)	100.0(%cover)
	NP_671638-EVM119-[Ectromelia-virus]	97.35(%id)	100.0(%cover)
	YP_233018-soluble-myristylprotein-[Vaccinia-virus]	97.35(%id)	100.0(%cover)
	YP_717445-IMV-membrane-protein-[Taterapox-virus]	97.08(%id)	100.0(%cover)
	NP_619932-CPXV149-protein-[Cowpox-virus]	96.82(%id)	100.0(%cover)
	NP_042164-hypothetical-protein-VARVgp120-[Variola-virus]	96.29(%id)	100.0(%cover)
	NP_570524-CMLV134-[Camelpox-virus]	96.82(%id)	100.0(%cover)
	YP_010085594-myristylate-protein-for-entry-[Akhmeta-virus]	96.02(%id)	100.0(%cover)
MPXV-UK_P2-127	A18L	127-IMV-membrane-protein	IMV membrane protein (Cop-A17L); A18L; similar to Vaccinia virus strain Copenhagen A17L; IMV surface membrane protein; early function in virion morphgenesis 
	NP_536555-A18L-[Monkeypox-virus-Zaire-96-I-16]	99.51(%id)	100.0(%cover)
	YP_233019-IMV-membrane-protein-[Vaccinia-virus]	97.55(%id)	100.0(%cover)
	NP_042165-hypothetical-protein-VARVgp121-[Variola-virus]	97.55(%id)	100.0(%cover)
	NP_570525-CMLV135-[Camelpox-virus]	97.06(%id)	100.0(%cover)
	YP_717446-IMV-membrane-protein-[Taterapox-virus]	97.06(%id)	100.0(%cover)
	YP_010085804-putative-A17L-protein-[Orthopoxvirus-Abatino]	96.57(%id)	100.0(%cover)
	NP_619933-CPXV150-protein-[Cowpox-virus]	95.59(%id)	100.0(%cover)
	NP_671639-EVM120-[Ectromelia-virus]	95.10(%id)	100.0(%cover)
	YP_010085595-IMV-membrane-protein-[Akhmeta-virus]	93.66(%id)	99.0(%cover)
	YP_009282830-imv-membrane-protein-[Skunkpox-virus]	91.13(%id)	99.0(%cover)
	YP_009281884-imv-membrane-protein-[Volepox-virus]	90.15(%id)	99.0(%cover)
	YP_009143445-IMV-membrane-protein-[Raccoonpox-virus]	91.13(%id)	99.0(%cover)
MPXV-UK_P2-128	A19R	128-DNA-helicase	DNA helicase, transcript release factor (Cop-A1 8R); A19R; similar to Vaccinia virus strain Copenhagen A1 8R; virion core associated DNA helicase; post-replicative negative transcription elongation factor 
	NP_536556-A19R-[Monkeypox-virus-Zaire-96-I-16]	98.78(%id)	100.0(%cover)
	NP_619934-CPXV151-protein-[Cowpox-virus]	96.34(%id)	100.0(%cover)
	YP_010085805-putative-A18R-protein-[Orthopoxvirus-Abatino]	95.74(%id)	100.0(%cover)
	YP_233020-DNA-helicase-[Vaccinia-virus]	96.15(%id)	100.0(%cover)
	NP_671640-EVM121-[Ectromelia-virus]	96.15(%id)	100.0(%cover)
	YP_717447-DNA-helicase-[Taterapox-virus]	95.74(%id)	100.0(%cover)
	YP_010085596-DNA-helicase-[Akhmeta-virus]	94.74(%id)	100.0(%cover)
	NP_042166-hypothetical-protein-VARVgp122-[Variola-virus]	95.13(%id)	100.0(%cover)
	NP_570526-CMLV136-[Camelpox-virus]	94.12(%id)	100.0(%cover)
	YP_009282831-DNA-helicase-[Skunkpox-virus]	90.69(%id)	100.0(%cover)
MPXV-UK_P2-129	A20L	129-Zinc-finger-like-protein	Zinc finger-like protein (Cop-A19L); A20L; similar to Vaccinia virus strain Copenhagen A19L 
	YP_010085597-Zinc-finger-like-protein-[Akhmeta-virus]	98.70(%id)	100.0(%cover)
	YP_010085806-putative-A19L-protein-[Orthopoxvirus-Abatino]	98.70(%id)	100.0(%cover)
	YP_233021-hypothetical-protein-VACWR139-[Vaccinia-virus]	97.40(%id)	100.0(%cover)
	NP_619935-CPXV152-protein-[Cowpox-virus]	97.40(%id)	100.0(%cover)
	NP_536557-A20L-[Monkeypox-virus-Zaire-96-I-16]	98.70(%id)	100.0(%cover)
	NP_671641-EVM122-[Ectromelia-virus]	96.10(%id)	100.0(%cover)
	NP_570527-CMLV137-[Camelpox-virus]	96.10(%id)	100.0(%cover)
	YP_717448-hypothetical-protein-TATV_DAH68_141-[Taterapox-virus]	96.10(%id)	100.0(%cover)
	NP_042167-hypothetical-protein-VARVgp123-[Variola-virus]	93.51(%id)	100.0(%cover)
MPXV-UK_P2-130	A21L	130-IMV-membrane-protein	IMV membrane protein, entry/fusion complex component (Cop-A21L); A21L; similar to Vaccinia virus strain Copenhagen A21L 
	NP_536558-IMV-membrane-protein-[Monkeypox-virus-Zaire-96-I-16]	99.13(%id)	100.0(%cover)
	NP_570528-IMV-membrane-protein-[Camelpox-virus]	99.14(%id)	100.0(%cover)
	YP_233022-Membrane-protein-[Vaccinia-virus]	98.29(%id)	100.0(%cover)
	YP_717449-IMV-membrane-protein-[Taterapox-virus]	98.29(%id)	100.0(%cover)
	YP_010085807-putative-A21L-protein-[Orthopoxvirus-Abatino]	98.29(%id)	100.0(%cover)
	NP_042168-IMV-membrane-protein-[Variola-virus]	96.58(%id)	100.0(%cover)
	NP_619937-CPXV153-protein-[Cowpox-virus]	96.58(%id)	100.0(%cover)
	YP_010085599-IMV-membrane-protein-[Akhmeta-virus]	96.58(%id)	100.0(%cover)
	YP_009282833-imv-membrane-protein-[Skunkpox-virus]	93.16(%id)	100.0(%cover)
	NP_671642-IMV-membrane-protein-[Ectromelia-virus]	95.76(%id)	100.0(%cover)
	YP_009281887-imv-membrane-protein-[Volepox-virus]	90.60(%id)	100.0(%cover)
	YP_009143448-IMV-membrane-protein-[Raccoonpox-virus]	90.60(%id)	100.0(%cover)
MPXV-UK_P2-131	A22R	131-viral-DNA-polymerase-processivity-factor	DNA polymerase processivity factor (Cop-A20R); A22R; similar to Vaccinia virus strain Copenhagen A20R; processivity factor for the viral DNA polymerase, VPF 
	NP_536559-A22R-[Monkeypox-virus-Zaire-96-I-16]	99.77(%id)	100.0(%cover)
	NP_619938-CPXV154-protein-[Cowpox-virus]	97.42(%id)	100.0(%cover)
	NP_671643-EVM124-[Ectromelia-virus]	97.42(%id)	100.0(%cover)
	YP_717450-viral-DNA-polymerase-processivity-factor-[Taterapox-virus]	97.18(%id)	100.0(%cover)
	YP_233023-viral-DNA-polymerase-processivity-factor-[Vaccinia-virus]	97.18(%id)	100.0(%cover)
	NP_570529-CMLV138-[Camelpox-virus]	96.71(%id)	100.0(%cover)
	YP_010085808-putative-A20R-protein-[Orthopoxvirus-Abatino]	96.48(%id)	100.0(%cover)
	NP_042169-hypothetical-protein-VARVgp125-[Variola-virus]	96.48(%id)	100.0(%cover)
	YP_010085600-DNA-polymerase-processing-factor-[Akhmeta-virus]	94.84(%id)	100.0(%cover)
MPXV-UK_P2-132	A23R	132-holliday-junction-endonuclease	Holliday junction resolvase (Cop-A22R); A23R; similar to Vaccinia virus strain Copenhagen A22R 
	NP_536560-A23R-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619939-CPXV155-protein-[Cowpox-virus]	97.86(%id)	100.0(%cover)
	NP_671644-EVM125-[Ectromelia-virus]	97.86(%id)	100.0(%cover)
	YP_010085809-putative-A22R-protein-[Orthopoxvirus-Abatino]	97.33(%id)	100.0(%cover)
	YP_233024-palmitylprotein-[Vaccinia-virus]	97.33(%id)	100.0(%cover)
	YP_717451-Holiday-junction-resolvase-palmitylprotein-[Taterapox-virus]	96.26(%id)	100.0(%cover)
	NP_042170-hypothetical-protein-VARVgp126-[Variola-virus]	95.19(%id)	100.0(%cover)
	NP_570530-CMLV140-[Camelpox-virus]	98.82(%id)	90.9(%cover)
	YP_010085601-holliday-junction-endonuclease-[Akhmeta-virus]	97.67(%id)	92.0(%cover)
	YP_009282835-holliday-junction-resolvase-[Skunkpox-virus]	93.05(%id)	100.0(%cover)
	YP_009281889-holliday-junction-resolvase-[Volepox-virus]	91.98(%id)	100.0(%cover)
	YP_009143450-Holliday-junction-endonuclease-[Raccoonpox-virus]	91.44(%id)	100.0(%cover)
MPXV-UK_P2-133	A24R	133-45kDa-large-subunit-of-intermediate-gene-transcription-factor-VITF-3	VITF-3 45kda subunit (Cop-A23R); A24R; similar to Vaccinia virus strain Copenhagen A23R; intermediate transcription factor, VITF-3, 45 kDa 
	NP_536561-A24R-[Monkeypox-virus-Zaire-96-I-16]	99.48(%id)	100.0(%cover)
	YP_233025-45kDa-large-subunit-of-intermediate-gene-transcription-factor-VITF-3-[Vaccinia-virus]	98.43(%id)	100.0(%cover)
	NP_619940-CPXV156-protein-[Cowpox-virus]	98.17(%id)	100.0(%cover)
	NP_570531-CMLV141-[Camelpox-virus]	97.64(%id)	100.0(%cover)
	YP_010085810-putative-A23R-protein-[Orthopoxvirus-Abatino]	97.64(%id)	100.0(%cover)
	NP_042171-hypothetical-protein-VARVgp127-[Variola-virus]	97.38(%id)	100.0(%cover)
	NP_671645-EVM126-[Ectromelia-virus]	97.38(%id)	100.0(%cover)
	YP_717452-45kDa-large-subunit-of-intermediate-gene-transcription-factor-VITF-3-[Taterapox-virus]	97.12(%id)	100.0(%cover)
	YP_010085602-VITF-3-large-subunit-[Akhmeta-virus]	97.12(%id)	100.0(%cover)
	YP_009282836-vitf-3-45kDa-subunit-[Skunkpox-virus]	94.24(%id)	100.0(%cover)
	YP_009281890-vitf-3-45kDa-subunit-[Volepox-virus]	94.24(%id)	100.0(%cover)
	YP_009143451-VITF-3-45-kDA-large-subunit-[Raccoonpox-virus]	92.67(%id)	100.0(%cover)
MPXV-UK_P2-134	A25R	134-DNA-dependent-RNA-polymerase-subunit-rpo132	RNA polymerase subunit (RPO132) (Cop-A24R); A25R; similar to Vaccinia virus strain Copenhagen A24R; RNA polymerase, 132 kDa subunit 
	NP_536562-A25R-[Monkeypox-virus-Zaire-96-I-16]	99.66(%id)	100.0(%cover)
	NP_570532-CMLV142-[Camelpox-virus]	99.57(%id)	99.9(%cover)
	NP_619941-Rpo132-or-CPXV157-protein-[Cowpox-virus]	99.31(%id)	100.0(%cover)
	YP_717453-DNA-dependent-RNA-polymerase-subunit-rpo132-[Taterapox-virus]	99.48(%id)	99.9(%cover)
	YP_233026-DNA-dependent-RNA-polymerase-subunit-rpo132-[Vaccinia-virus]	99.14(%id)	100.0(%cover)
	YP_010085811-putative-A24R-protein-[Orthopoxvirus-Abatino]	99.23(%id)	100.0(%cover)
	NP_042172-hypothetical-protein-VARVgp128-[Variola-virus]	98.88(%id)	99.9(%cover)
	NP_671646-EVM127-[Ectromelia-virus]	98.80(%id)	99.9(%cover)
	YP_010085603-DNA-directed-RNA-polymerase-[Akhmeta-virus]	98.80(%id)	99.9(%cover)
	YP_009143452-RNA-polymerase-subunit-RPO132-protein-[Raccoonpox-virus]	96.13(%id)	100.0(%cover)
	YP_009282837-RNA-polymerase-[Skunkpox-virus]	96.31(%id)	100.0(%cover)
	YP_009281891-RNA-polymerase-[Volepox-virus]	96.04(%id)	99.8(%cover)
MPXV-UK_P2-137	A28L	137-cowpox-A-type-inclusion-protein	P4c precursor (Cop-A26L); A28L; major component of IMV surface tubules; p4c 
	NP_536565-A28L-[Monkeypox-virus-Zaire-96-I-16]	96.92(%id)	100.0(%cover)
	NP_570535-CMLV145-[Camelpox-virus]	91.16(%id)	100.0(%cover)
	YP_717457-cowpox-A-type-inclusion-protein-[Taterapox-virus]	91.96(%id)	100.0(%cover)
	YP_233031-cowpox-A-type-inclusion-protein-[Vaccinia-virus]	92.53(%id)	100.0(%cover)
	NP_042177-hypothetical-protein-VARVgp133-[Variola-virus]	91.55(%id)	100.0(%cover)
MPXV-UK_P2-138	A29L	138-IMV-surface-protein	IMV surface protein, fusion protein (Cop-A27L); A29L; similar to Vaccinia virus strain Copenhagen A27L; IMV surface membrane 14 kDa fusion protein; binding to cell surface heparan 
	NP_536566-A29L-[Monkeypox-virus-Zaire-96-I-16]	98.18(%id)	100.0(%cover)
	NP_619946-CPXV162-protein-[Cowpox-virus]	95.45(%id)	100.0(%cover)
	YP_717458-IMV-surface-protein-[Taterapox-virus]	94.55(%id)	100.0(%cover)
	NP_570536-CMLV146-[Camelpox-virus]	93.64(%id)	100.0(%cover)
	NP_042178-hypothetical-protein-VARVgp134-[Variola-virus]	93.64(%id)	100.0(%cover)
	YP_233032-IMV-surface-protein-[Vaccinia-virus]	94.55(%id)	100.0(%cover)
	YP_010085815-putative-A27L-protein-[Orthopoxvirus-Abatino]	93.64(%id)	100.0(%cover)
	NP_671648-EVM129-[Ectromelia-virus]	93.64(%id)	100.0(%cover)
	YP_010085606-IMV-surface-protein-[Akhmeta-virus]	92.73(%id)	100.0(%cover)
MPXV-UK_P2-139	A30L	139-IMV-membrane-protein	IMV MP/Virus entry (Cop-A28L); A30L; similar to Vaccinia virus strain Copenhagen A28L 
	NP_536567-A30L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
